ALGERIA,Developing,Africa,Northern Africa
EGYPT,Developing,Africa,Northern Africa
LIBYA,Developing,Africa,Northern Africa
MOROCCO,Developing,Africa,Northern Africa
SUDAN,Developing,Africa,Northern Africa
TUNISIA,Developing,Africa,Northern Africa
WESTERN SAHARA,Developing,Africa,Northern Africa
BRITISH INDIAN OCEAN TERRITORY,Developing,Africa,Sub-Saharan Africa
BURUNDI,Developing,Africa,Sub-Saharan Africa
COMOROS,Developing,Africa,Sub-Saharan Africa
DJIBOUTI,Developing,Africa,Sub-Saharan Africa
ERITREA,Developing,Africa,Sub-Saharan Africa
ETHIOPIA,Developing,Africa,Sub-Saharan Africa
FRENCH SOUTHERN TERRITORIES,Developing,Africa,Sub-Saharan Africa
KENYA,Developing,Africa,Sub-Saharan Africa
MADAGASCAR,Developing,Africa,Sub-Saharan Africa
MALAWI,Developing,Africa,Sub-Saharan Africa
MAURITIUS,Developing,Africa,Sub-Saharan Africa
MAYOTTE,Developing,Africa,Sub-Saharan Africa
MOZAMBIQUE,Developing,Africa,Sub-Saharan Africa
REUNION,Developing,Africa,Sub-Saharan Africa
RWANDA,Developing,Africa,Sub-Saharan Africa
SEYCHELLES,Developing,Africa,Sub-Saharan Africa
SOMALIA,Developing,Africa,Sub-Saharan Africa
SOUTH SUDAN,Developing,Africa,Sub-Saharan Africa
UGANDA,Developing,Africa,Sub-Saharan Africa
TANZANIA,Developing,Africa,Sub-Saharan Africa
ZAMBIA,Developing,Africa,Sub-Saharan Africa
ZIMBABWE,Developing,Africa,Sub-Saharan Africa
ANGOLA,Developing,Africa,Sub-Saharan Africa
CAMEROON,Developing,Africa,Sub-Saharan Africa
CENTRAL AFRICAN REPUBLIC,Developing,Africa,Sub-Saharan Africa
CHAD,Developing,Africa,Sub-Saharan Africa
CONGO,Developing,Africa,Sub-Saharan Africa
D. R. CONGO,Developing,Africa,Sub-Saharan Africa
EQUATORIAL GUINEA,Developing,Africa,Sub-Saharan Africa
GABON,Developing,Africa,Sub-Saharan Africa
SAO TOME AND PRINCIPE,Developing,Africa,Sub-Saharan Africa
BOTSWANA,Developing,Africa,Sub-Saharan Africa
LESOTHO,Developing,Africa,Sub-Saharan Africa
NAMIBIA,Developing,Africa,Sub-Saharan Africa
SOUTH AFRICA,Developing,Africa,Sub-Saharan Africa
SWAZILAND,Developing,Africa,Sub-Saharan Africa
BENIN,Developing,Africa,Sub-Saharan Africa
BURKINA FASO,Developing,Africa,Sub-Saharan Africa
CABO VERDE,Developing,Africa,Sub-Saharan Africa
COTE D'IVOIRE,Developing,Africa,Sub-Saharan Africa
GAMBIA,Developing,Africa,Sub-Saharan Africa
GHANA,Developing,Africa,Sub-Saharan Africa
GUINEA,Developing,Africa,Sub-Saharan Africa
GUINEA-BISSAU,Developing,Africa,Sub-Saharan Africa
LIBERIA,Developing,Africa,Sub-Saharan Africa
MALI,Developing,Africa,Sub-Saharan Africa
MAURITANIA,Developing,Africa,Sub-Saharan Africa
NIGER,Developing,Africa,Sub-Saharan Africa
NIGERIA,Developing,Africa,Sub-Saharan Africa
SAINT HELENA,Developing,Africa,Sub-Saharan Africa
SENEGAL,Developing,Africa,Sub-Saharan Africa
SIERRA LEONE,Developing,Africa,Sub-Saharan Africa
TOGO,Developing,Africa,Sub-Saharan Africa
ANGUILLA,Developing,Americas,Latin America and the Caribbean
ANTIGUA AND BARBUDA,Developing,Americas,Latin America and the Caribbean
ARUBA,Developing,Americas,Latin America and the Caribbean
BAHAMAS,Developing,Americas,Latin America and the Caribbean
BARBADOS,Developing,Americas,Latin America and the Caribbean
BONAIRE,Developing,Americas,Latin America and the Caribbean
BRITISH VIRGIN ISLANDS,Developing,Americas,Latin America and the Caribbean
CAYMAN ISLANDS,Developing,Americas,Latin America and the Caribbean
CUBA,Developing,Americas,Latin America and the Caribbean
CURACAO,Developing,Americas,Latin America and the Caribbean
DOMINICA,Developing,Americas,Latin America and the Caribbean
DOMINICAN REPUBLIC,Developing,Americas,Latin America and the Caribbean
GRENADA,Developing,Americas,Latin America and the Caribbean
GUADELOUPE,Developing,Americas,Latin America and the Caribbean
HAITI,Developing,Americas,Latin America and the Caribbean
JAMAICA,Developing,Americas,Latin America and the Caribbean
MARTINIQUE,Developing,Americas,Latin America and the Caribbean
MONTSERRAT,Developing,Americas,Latin America and the Caribbean
PUERTO RICO,Developing,Americas,Latin America and the Caribbean
SAINT BARTHOLEMY,Developing,Americas,Latin America and the Caribbean
SAINT KITTS AND NEVIS,Developing,Americas,Latin America and the Caribbean
SAINT LUCIA,Developing,Americas,Latin America and the Caribbean
SAINT MARTIN (FRENCH PART),Developing,Americas,Latin America and the Caribbean
SAINT VINCENT AND THE GRENADINES,Developing,Americas,Latin America and the Caribbean
SINT MAARTEN (DUTCH PART),Developing,Americas,Latin America and the Caribbean
TRINIDAD AND TOBAGO,Developing,Americas,Latin America and the Caribbean
TURKS AND CAICOS ISLANDS,Developing,Americas,Latin America and the Caribbean
UNITED STATES VIRGIN ISLANDS,Developing,Americas,Latin America and the Caribbean
BELIZE,Developing,Americas,Latin America and the Caribbean
COSTA RICA,Developing,Americas,Latin America and the Caribbean
EL SALVADOR,Developing,Americas,Latin America and the Caribbean
GUATEMALA,Developing,Americas,Latin America and the Caribbean
HONDURAS,Developing,Americas,Latin America and the Caribbean
MEXICO,Developing,Americas,Latin America and the Caribbean
NICARAGUA,Developing,Americas,Latin America and the Caribbean
PANAMA,Developing,Americas,Latin America and the Caribbean
ARGENTINA,Developing,Americas,Latin America and the Caribbean
BOLIVIA,Developing,Americas,Latin America and the Caribbean
BOUVET ISLAND,Developing,Americas,Latin America and the Caribbean
BRAZIL,Developing,Americas,Latin America and the Caribbean
CHILE,Developing,Americas,Latin America and the Caribbean
COLOMBIA,Developing,Americas,Latin America and the Caribbean
ECUADOR,Developing,Americas,Latin America and the Caribbean
FALKLAND ISLANDS (MALVINAS),Developing,Americas,Latin America and the Caribbean
FRENCH GUIANA,Developing,Americas,Latin America and the Caribbean
GUYANA,Developing,Americas,Latin America and the Caribbean
PARAGUAY,Developing,Americas,Latin America and the Caribbean
PERU,Developing,Americas,Latin America and the Caribbean
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,Developing,Americas,Latin America and the Caribbean
SURINAME,Developing,Americas,Latin America and the Caribbean
URUGUAY,Developing,Americas,Latin America and the Caribbean
VENEZUELA,Developing,Americas,Latin America and the Caribbean
BERMUDA,Developed,Americas,Northern America
CANADA,Developed,Americas,Northern America
GREENLAND,Developed,Americas,Northern America
SAINT PIERRE AND MIQUELON,Developed,Americas,Northern America
UNITED STATES,Developed,Americas,Northern America
ANTARCTICA,none,none,none
KAZAKHSTAN,Developing,Asia,Central Asia
KYRGYZSTAN,Developing,Asia,Central Asia
TAJIKISTAN,Developing,Asia,Central Asia
TURKMENISTAN,Developing,Asia,Central Asia
UZBEKISTAN,Developing,Asia,Central Asia
CHINA,Developing,Asia,Eastern Asia
HONG KONG,Developing,Asia,Eastern Asia
TAIWAN,Developing,Asia,Eastern Asia
NORTH KOREA,Developing,Asia,Eastern Asia
JAPAN,Developed,Asia,Eastern Asia
MONGOLIA,Developing,Asia,Eastern Asia
SOUTH KOREA,Developing,Asia,Eastern Asia
BRUNEI DARUSSALAM,Developing,Asia,South-eastern Asia
CAMBODIA,Developing,Asia,South-eastern Asia
INDONESIA,Developing,Asia,South-eastern Asia
LAO PEOPLE'S DEMOCRATIC REPUBLIC,Developing,Asia,South-eastern Asia
MALAYSIA,Developing,Asia,South-eastern Asia
MYANMAR,Developing,Asia,South-eastern Asia
PHILIPPINES,Developing,Asia,South-eastern Asia
SINGAPORE,Developing,Asia,South-eastern Asia
THAILAND,Developing,Asia,South-eastern Asia
TIMOR-LESTE,Developing,Asia,South-eastern Asia
VIETNAM,Developing,Asia,South-eastern Asia
AFGHANISTAN,Developing,Asia,Southern Asia
BANGLADESH,Developing,Asia,Southern Asia
BHUTAN,Developing,Asia,Southern Asia
INDIA,Developing,Asia,Southern Asia
IRAN,Developing,Asia,Southern Asia
MALDIVES,Developing,Asia,Southern Asia
NEPAL,Developing,Asia,Southern Asia
PAKISTAN,Developing,Asia,Southern Asia
SRI LANKA,Developing,Asia,Southern Asia
ARMENIA,Developing,Asia,Western Asia
AZERBAIJAN,Developing,Asia,Western Asia
BAHRAIN,Developing,Asia,Western Asia
CYPRUS,Developing,Asia,Western Asia
GEORGIA,Developing,Asia,Western Asia
IRAQ,Developing,Asia,Western Asia
ISRAEL,Developing,Asia,Western Asia
JORDAN,Developing,Asia,Western Asia
KUWAIT,Developing,Asia,Western Asia
LEBANON,Developing,Asia,Western Asia
OMAN,Developing,Asia,Western Asia
QATAR,Developing,Asia,Western Asia
SAUDI ARABIA,Developing,Asia,Western Asia
PALESTINE,Developing,Asia,Western Asia
SYRIAN ARAB REPUBLIC,Developing,Asia,Western Asia
TURKEY,Developing,Asia,Western Asia
UNITED ARAB EMIRATES,Developing,Asia,Western Asia
YEMEN,Developing,Asia,Western Asia
BELARUS,Developed,Europe,Eastern Europe
BULGARIA,Developed,Europe,Eastern Europe
CZECH REPUBLIC,Developed,Europe,Eastern Europe
HUNGARY,Developed,Europe,Eastern Europe
POLAND,Developed,Europe,Eastern Europe
MOLDOVA,Developed,Europe,Eastern Europe
ROMANIA,Developed,Europe,Eastern Europe
RUSSIAN FEDERATION,Developed,Europe,Eastern Europe
SLOVAKIA,Developed,Europe,Eastern Europe
UKRAINE,Developed,Europe,Eastern Europe
LAND ISLANDS,Developed,Europe,Northern Europe
GUERNSEY,Developed,Europe,Northern Europe
JERSEY,Developed,Europe,Northern Europe
SARK,Developed,Europe,Northern Europe
DENMARK,Developed,Europe,Northern Europe
ESTONIA,Developed,Europe,Northern Europe
FAROE ISLANDS,Developed,Europe,Northern Europe
FINLAND,Developed,Europe,Northern Europe
ICELAND,Developed,Europe,Northern Europe
IRELAND,Developed,Europe,Northern Europe
ISLE OF MAN,Developed,Europe,Northern Europe
LATVIA,Developed,Europe,Northern Europe
LITHUANIA,Developed,Europe,Northern Europe
NORWAY,Developed,Europe,Northern Europe
SVALBARD AND JAN MAYEN ISLANDS,Developed,Europe,Northern Europe
SWEDEN,Developed,Europe,Northern Europe
UNITED KINGDOM,Developed,Europe,Northern Europe
ALBANIA,Developed,Europe,Southern Europe
ANDORRA,Developed,Europe,Southern Europe
BOSNIA AND HERZEGOVINA,Developed,Europe,Southern Europe
CROATIA,Developed,Europe,Southern Europe
GIBRALTAR,Developed,Europe,Southern Europe
GREECE,Developed,Europe,Southern Europe
HOLY SEE (VATICAN CITY STATE),Developed,Europe,Southern Europe
ITALY,Developed,Europe,Southern Europe
MALTA,Developed,Europe,Southern Europe
MONTENEGRO,Developed,Europe,Southern Europe
PORTUGAL,Developed,Europe,Southern Europe
SAN MARINO,Developed,Europe,Southern Europe
SERBIA,Developed,Europe,Southern Europe
SLOVENIA,Developed,Europe,Southern Europe
SPAIN,Developed,Europe,Southern Europe
MACEDONIA,Developed,Europe,Southern Europe
AUSTRIA,Developed,Europe,Western Europe
BELGIUM,Developed,Europe,Western Europe
FRANCE,Developed,Europe,Western Europe
GERMANY,Developed,Europe,Western Europe
LIECHTENSTEIN,Developed,Europe,Western Europe
LUXEMBOURG,Developed,Europe,Western Europe
MONACO,Developed,Europe,Western Europe
NETHERLANDS,Developed,Europe,Western Europe
SWITZERLAND,Developed,Europe,Western Europe
AUSTRALIA,Developed,Oceania,Australia and New Zealand
CHRISTMAS ISLAND,Developed,Oceania,Australia and New Zealand
COCOS (KEELING) ISLANDS,Developed,Oceania,Australia and New Zealand
HEARD ISLAND AND MCDONALD ISLANDS,Developed,Oceania,Australia and New Zealand
NEW ZEALAND,Developed,Oceania,Australia and New Zealand
NORFOLK ISLAND,Developed,Oceania,Australia and New Zealand
FIJI,Developing,Oceania,Melanesia
NEW CALEDONIA,Developing,Oceania,Melanesia
PAPUA NEW GUINEA,Developing,Oceania,Melanesia
SOLOMON ISLANDS,Developing,Oceania,Melanesia
VANUATU,Developing,Oceania,Melanesia
GUAM,Developing,Oceania,Micronesia
KIRIBATI,Developing,Oceania,Micronesia
MARSHALL ISLANDS,Developing,Oceania,Micronesia
MICRONESIA,Developing,Oceania,Micronesia
NAURU,Developing,Oceania,Micronesia
NORTHERN MARIANA ISLANDS,Developing,Oceania,Micronesia
PALAU,Developing,Oceania,Micronesia
UNITED STATES MINOR OUTLYING ISLANDS,Developing,Oceania,Micronesia
AMERICAN SAMOA,Developing,Oceania,Polynesia
COOK ISLANDS,Developing,Oceania,Polynesia
FRENCH POLYNESIA,Developing,Oceania,Polynesia
NIUE,Developing,Oceania,Polynesia
PITCAIRN,Developing,Oceania,Polynesia
SAMOA,Developing,Oceania,Polynesia
TOKELAU,Developing,Oceania,Polynesia
TONGA,Developing,Oceania,Polynesia
TUVALU,Developing,Oceania,Polynesia
WALLIS AND FUTUNA ISLANDS,Developing,Oceania,Polynesia
