ALGERIA,Northern Africa
EGYPT,Northern Africa
LIBYA,Northern Africa
MOROCCO,Northern Africa
SUDAN,Northern Africa
TUNISIA,Northern Africa
WESTERN SAHARA,Northern Africa
BRITISH INDIAN OCEAN TERRITORY,Sub-Saharan Africa
BURUNDI,Sub-Saharan Africa
COMOROS,Sub-Saharan Africa
DJIBOUTI,Sub-Saharan Africa
ERITREA,Sub-Saharan Africa
ETHIOPIA,Sub-Saharan Africa
FRENCH SOUTHERN TERRITORIES,Sub-Saharan Africa
KENYA,Sub-Saharan Africa
MADAGASCAR,Sub-Saharan Africa
MALAWI,Sub-Saharan Africa
MAURITIUS,Sub-Saharan Africa
MAYOTTE,Sub-Saharan Africa
MOZAMBIQUE,Sub-Saharan Africa
REUNION,Sub-Saharan Africa
RWANDA,Sub-Saharan Africa
SEYCHELLES,Sub-Saharan Africa
SOMALIA,Sub-Saharan Africa
SOUTH SUDAN,Sub-Saharan Africa
UGANDA,Sub-Saharan Africa
TANZANIA,Sub-Saharan Africa
ZAMBIA,Sub-Saharan Africa
ZIMBABWE,Sub-Saharan Africa
ANGOLA,Sub-Saharan Africa
CAMEROON,Sub-Saharan Africa
CENTRAL AFRICAN REPUBLIC,Sub-Saharan Africa
CHAD,Sub-Saharan Africa
CONGO,Sub-Saharan Africa
D. R. CONGO,Sub-Saharan Africa
EQUATORIAL GUINEA,Sub-Saharan Africa
GABON,Sub-Saharan Africa
SAO TOME AND PRINCIPE,Sub-Saharan Africa
BOTSWANA,Sub-Saharan Africa
LESOTHO,Sub-Saharan Africa
NAMIBIA,Sub-Saharan Africa
SOUTH AFRICA,Sub-Saharan Africa
SWAZILAND,Sub-Saharan Africa
BENIN,Sub-Saharan Africa
BURKINA FASO,Sub-Saharan Africa
CABO VERDE,Sub-Saharan Africa
COTE D'IVOIRE,Sub-Saharan Africa
GAMBIA,Sub-Saharan Africa
GHANA,Sub-Saharan Africa
GUINEA,Sub-Saharan Africa
GUINEA-BISSAU,Sub-Saharan Africa
LIBERIA,Sub-Saharan Africa
MALI,Sub-Saharan Africa
MAURITANIA,Sub-Saharan Africa
NIGER,Sub-Saharan Africa
NIGERIA,Sub-Saharan Africa
SAINT HELENA,Sub-Saharan Africa
SENEGAL,Sub-Saharan Africa
SIERRA LEONE,Sub-Saharan Africa
TOGO,Sub-Saharan Africa
ANGUILLA,Latin America and the Caribbean
ANTIGUA AND BARBUDA,Latin America and the Caribbean
ARUBA,Latin America and the Caribbean
BAHAMAS,Latin America and the Caribbean
BARBADOS,Latin America and the Caribbean
BONAIRE,Latin America and the Caribbean
BRITISH VIRGIN ISLANDS,Latin America and the Caribbean
CAYMAN ISLANDS,Latin America and the Caribbean
CUBA,Latin America and the Caribbean
CURACAO,Latin America and the Caribbean
DOMINICA,Latin America and the Caribbean
DOMINICAN REPUBLIC,Latin America and the Caribbean
GRENADA,Latin America and the Caribbean
GUADELOUPE,Latin America and the Caribbean
HAITI,Latin America and the Caribbean
JAMAICA,Latin America and the Caribbean
MARTINIQUE,Latin America and the Caribbean
MONTSERRAT,Latin America and the Caribbean
PUERTO RICO,Latin America and the Caribbean
SAINT BARTHOLEMY,Latin America and the Caribbean
SAINT KITTS AND NEVIS,Latin America and the Caribbean
SAINT LUCIA,Latin America and the Caribbean
SAINT MARTIN (FRENCH PART),Latin America and the Caribbean
SAINT VINCENT AND THE GRENADINES,Latin America and the Caribbean
SINT MAARTEN (DUTCH PART),Latin America and the Caribbean
TRINIDAD AND TOBAGO,Latin America and the Caribbean
TURKS AND CAICOS ISLANDS,Latin America and the Caribbean
UNITED STATES VIRGIN ISLANDS,Latin America and the Caribbean
BELIZE,Latin America and the Caribbean
COSTA RICA,Latin America and the Caribbean
EL SALVADOR,Latin America and the Caribbean
GUATEMALA,Latin America and the Caribbean
HONDURAS,Latin America and the Caribbean
MEXICO,Latin America and the Caribbean
NICARAGUA,Latin America and the Caribbean
PANAMA,Latin America and the Caribbean
ARGENTINA,Latin America and the Caribbean
BOLIVIA,Latin America and the Caribbean
BOUVET ISLAND,Latin America and the Caribbean
BRAZIL,Latin America and the Caribbean
CHILE,Latin America and the Caribbean
COLOMBIA,Latin America and the Caribbean
ECUADOR,Latin America and the Caribbean
FALKLAND ISLANDS (MALVINAS),Latin America and the Caribbean
FRENCH GUIANA,Latin America and the Caribbean
GUYANA,Latin America and the Caribbean
PARAGUAY,Latin America and the Caribbean
PERU,Latin America and the Caribbean
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,Latin America and the Caribbean
SURINAME,Latin America and the Caribbean
URUGUAY,Latin America and the Caribbean
VENEZUELA,Latin America and the Caribbean
BERMUDA,Northern America
CANADA,Northern America
GREENLAND,Northern America
SAINT PIERRE AND MIQUELON,Northern America
UNITED STATES,Northern America
ANTARCTICA,none
KAZAKHSTAN,Central Asia
KYRGYZSTAN,Central Asia
TAJIKISTAN,Central Asia
TURKMENISTAN,Central Asia
UZBEKISTAN,Central Asia
CHINA,Eastern Asia
HONG KONG,Eastern Asia
TAIWAN,Eastern Asia
NORTH KOREA,Eastern Asia
JAPAN,Eastern Asia
MONGOLIA,Eastern Asia
SOUTH KOREA,Eastern Asia
BRUNEI DARUSSALAM,South-eastern Asia
CAMBODIA,South-eastern Asia
INDONESIA,South-eastern Asia
LAO PEOPLE'S DEMOCRATIC REPUBLIC,South-eastern Asia
MALAYSIA,South-eastern Asia
MYANMAR,South-eastern Asia
PHILIPPINES,South-eastern Asia
SINGAPORE,South-eastern Asia
THAILAND,South-eastern Asia
TIMOR-LESTE,South-eastern Asia
VIETNAM,South-eastern Asia
AFGHANISTAN,Southern Asia
BANGLADESH,Southern Asia
BHUTAN,Southern Asia
INDIA,Southern Asia
IRAN,Southern Asia
MALDIVES,Southern Asia
NEPAL,Southern Asia
PAKISTAN,Southern Asia
SRI LANKA,Southern Asia
ARMENIA,Western Asia
AZERBAIJAN,Western Asia
BAHRAIN,Western Asia
CYPRUS,Western Asia
GEORGIA,Western Asia
IRAQ,Western Asia
ISRAEL,Western Asia
JORDAN,Western Asia
KUWAIT,Western Asia
LEBANON,Western Asia
OMAN,Western Asia
QATAR,Western Asia
SAUDI ARABIA,Western Asia
PALESTINE,Western Asia
SYRIAN ARAB REPUBLIC,Western Asia
TURKEY,Western Asia
UNITED ARAB EMIRATES,Western Asia
YEMEN,Western Asia
BELARUS,Eastern Europe
BULGARIA,Eastern Europe
CZECH REPUBLIC,Eastern Europe
HUNGARY,Eastern Europe
POLAND,Eastern Europe
MOLDOVA,Eastern Europe
ROMANIA,Eastern Europe
RUSSIAN FEDERATION,Eastern Europe
SLOVAKIA,Eastern Europe
UKRAINE,Eastern Europe
LAND ISLANDS,Northern Europe
GUERNSEY,Northern Europe
JERSEY,Northern Europe
SARK,Northern Europe
DENMARK,Northern Europe
ESTONIA,Northern Europe
FAROE ISLANDS,Northern Europe
FINLAND,Northern Europe
ICELAND,Northern Europe
IRELAND,Northern Europe
ISLE OF MAN,Northern Europe
LATVIA,Northern Europe
LITHUANIA,Northern Europe
NORWAY,Northern Europe
SVALBARD AND JAN MAYEN ISLANDS,Northern Europe
SWEDEN,Northern Europe
UNITED KINGDOM,Northern Europe
ALBANIA,Southern Europe
ANDORRA,Southern Europe
BOSNIA AND HERZEGOVINA,Southern Europe
CROATIA,Southern Europe
GIBRALTAR,Southern Europe
GREECE,Southern Europe
HOLY SEE (VATICAN CITY STATE),Southern Europe
ITALY,Southern Europe
MALTA,Southern Europe
MONTENEGRO,Southern Europe
PORTUGAL,Southern Europe
SAN MARINO,Southern Europe
SERBIA,Southern Europe
SLOVENIA,Southern Europe
SPAIN,Southern Europe
MACEDONIA,Southern Europe
AUSTRIA,Western Europe
BELGIUM,Western Europe
FRANCE,Western Europe
GERMANY,Western Europe
LIECHTENSTEIN,Western Europe
LUXEMBOURG,Western Europe
MONACO,Western Europe
NETHERLANDS,Western Europe
SWITZERLAND,Western Europe
AUSTRALIA,Australia and New Zealand
CHRISTMAS ISLAND,Australia and New Zealand
COCOS (KEELING) ISLANDS,Australia and New Zealand
HEARD ISLAND AND MCDONALD ISLANDS,Australia and New Zealand
NEW ZEALAND,Australia and New Zealand
NORFOLK ISLAND,Australia and New Zealand
FIJI,Melanesia
NEW CALEDONIA,Melanesia
PAPUA NEW GUINEA,Melanesia
SOLOMON ISLANDS,Melanesia
VANUATU,Melanesia
GUAM,Micronesia
KIRIBATI,Micronesia
MARSHALL ISLANDS,Micronesia
MICRONESIA,Micronesia
NAURU,Micronesia
NORTHERN MARIANA ISLANDS,Micronesia
PALAU,Micronesia
UNITED STATES MINOR OUTLYING ISLANDS,Micronesia
AMERICAN SAMOA,Polynesia
COOK ISLANDS,Polynesia
FRENCH POLYNESIA,Polynesia
NIUE,Polynesia
PITCAIRN,Polynesia
SAMOA,Polynesia
TOKELAU,Polynesia
TONGA,Polynesia
TUVALU,Polynesia
WALLIS AND FUTUNA ISLANDS,Polynesia
